"Alzadick Summer Carnival '92 / アルザディック サマーカーニバル'92","alzadick-summer-carnival-'92","JP","CD",1992,"naxat / ナグザット"
"Avenger / アヴェンジャー","avenger","JP","CD",1990,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Bikkuri Daijikai / ビックリマン大事界","bikkuri-daijikai","JP","CD",1988,"Hudson / ハドソン"
"Cosmic Fantasy - Bouken Shounen Yuu / コズミック・ファンタジー 冒険少年ユウ","cosmic-fantasy-bouken-shounen-yuu","JP","CD",1990,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Cosmic Fantasy 2 - Bouken Shounen Ban / コズミック・ファンタジー2 冒険少年バン","cosmic-fantasy-2-bouken-shounen-ban","JP","CD",1991,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Dekoboko Densetsu - Hashiru Wagamanma / デコボコ伝説 走るワガマンマー","dekoboko-densetsu-hashiru-wagamanma","JP","CD",1990,"Renovotion game, Telenet Japan / RENO, 日本テレネット"
"Download 2 / ダウンロード2","download-2","JP","CD",1991,"NEC Avenue/Alfa System / NECアベニュー/アルファ・システム"
"Efera & Jiliora - The Emblem From Darkness / エフェラ アンド ジリオラ ジ・エンブレム フロム ダークネス","efera-&-jiliora-the-emblem-from-darkness","JP","CD",1991,"Brain Grey / ブレイングレイ"
"Exile - Toki No Hazama E / エグザイル ～時の狭間へ～","exile-toki-no-hazama-e","JP","CD",1991,"Renovotion game, Telenet Japan / RENO, 日本テレネット"
"Fighting Street / ファイティング・ストリート","fighting-street","JP","CD",1988,"Hudson/Alfa System/Capcom / ハドソン/アルファ・システム/カプコン"
"Gambler Jikochuushinha / ぎゅわんぶらあ自己中心派 CDだよ全員集合!! 激闘36雀士","gambler-jikochuushinha","JP","CD",1989,"Hudson / ハドソン"
"Gensou Tairiku Auleria / 幻蒼大陸 オーレリア","gensou-tairiku-auleria","JP","CD",1993,"Taito/Winky Soft / タイトー/ウインキーソフト"
"Hellfire S / ヘルファイヤーS","hellfire-s","JP","CD",1991,"NEC Avenue/Toaplan / NECアベニュー/東亜プラン"
"J.B.Harold Series #1 Murder Club / J. B. ハロルド 殺人クラブ","j.b.harold-series-#1-murder-club","JP","CD",1990,"Hudson/Riverhill Soft / ハドソン/リバーヒルソフト"
"Jantei Monogatari 2 - Uchuu Tantei Diban - Shutsudou Hen / 雀偵物語2 宇宙探偵ディバン 出動編","jantei-monogatari-2-uchuu-tantei-diban-shutsudou-hen","JP","CD",1992,"Atlus / アトラス"
"Jantei Monogatari 2 - Uchuutantei Diban - Kanketsu Hen / 雀偵物語2 宇宙探偵ディバン 完結編","jantei-monogatari-2-uchuutantei-diban-kanketsu-hen","JP","CD",1992,"Atlus / アトラス"
"Kawa No Nushitsuri Shizenha / 川のぬし釣り 自然派","kawa-no-nushitsuri-shizenha","JP","CD",1992,"Pack-In-Video / パック・イン・ビデオ"
"L-Dis / エルディス","l-dis","JP","CD",1991,"Masaya (NCS) / メサイヤ（日本コンピューターシステム）"
"Laser Soft Visual Collection Vol.1 - Cosmic Fantasy Visual / レーザーソフト ビジュアル コレクション Vol.1 コズミック・ファンタジー集","laser-soft-visual-collection-vol.1-cosmic-fantasy-visual","JP","CD",1993,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Laser Soft Visual Collection Vol.2 - Valis Visual / レーザーソフト ビジュアル コレクション Vol.2 ヴァリス ヴィジュアル集","laser-soft-visual-collection-vol.2-valis-visual","JP","CD",1993,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"Legion / レギオン","legion","JP","CD",1990,"Renovotion game, Telenet Japan / RENO, 日本テレネット"
"Nartore - The Suguroku '92 - Narigari Trendy / なりトレ ザ・スゴロク'92 NARIAGARI TRENDY","nartore-the-suguroku-'92-narigari-trendy","JP","CD",1991,"Laser Soft, Telenet Japan / レーザーソフト, 日本テレネット"
"NoRiKo / 小川範子","noriko","JP","CD",1988,"Hudson/Alfa System / ハドソン/アルファ・システム"
"Pachio-kun Maboroshi No Densetsu / パチ夫くん 幻の伝説","pachio-kun-maboroshi-no-densetsu","JP","CD",1991,"Coconuts Japan / ココナッツジャパン"
"Rainbow Islands / レインボーアイランド","rainbow-islands","JP","CD",1993,"NEC Avenue/Taito / NECアベニュー/タイトー"
"Ranma 1/2 / らんま1／2","ranma-1/2","JP","CD",1990,"Masaya (NCS) / メサイヤ（日本コンピューターシステム）"
"Ranma 1/2 - Toraware No Hanayome / らんま1／2 とらわれの花嫁","ranma-1/2-toraware-no-hanayome","JP","CD",1991,"Masaya (NCS)/Tenky / メサイヤ（日本コンピューターシステム）/テンキー"
"Rayxanber II / ライザンバーII","rayxanber-ii","JP","CD",1991,"Data East / データイースト"
"Record of Lodoss War / ロードス島戦記","record-of-lodoss-war","JP","CD",1992,"Hudson/Humming Bird Soft / ハドソン/ハミングバードソフト"
"Seiryuu Densetsu Monbit / 聖竜伝説モンビット","seiryuu-densetsu-monbit","JP","CD",1991,"Hudson / ハドソン"
"Serei Senshi Spriggan / 精霊戦士SPRIGGAN","serei-senshi-spriggan","JP","CD",1991,"naxat/Compile / ナグザット/コンパイル"
"Shanghai II / 上海II","shanghai-ii","JP","CD",1990,"Hudson/Alfa System / ハドソン/アルファ・システム"
"Space Adventure Cobra / SPACE ADVENTURE コブラ ―黒竜王の伝説―","space-adventure-cobra","JP","CD",1989,"Hudson / ハドソン"
"Space Adventure Cobra II / SPACE ADVENTURE コブラII ―伝説の男―","space-adventure-cobra-ii","JP","CD",1991,"Hudson / ハドソン"
